code_snippet_id;AOI_ID;IA_idx_start;IA_idx_end
10-177-V1;1;1;5
10-177-V1;2;5;26
10-177-V1;3;26;53
10-177-V1;4;53;124
10-177-V2;1;1;5
10-177-V2;2;5;26
10-177-V2;3;26;53
10-177-V2;4;53;124
10-181-V1;1;0;16
10-181-V1;2;16;39
10-181-V1;3;39;77
10-181-V1;4;77;98
10-181-V2;1;1;16
10-181-V2;2;16;39
10-181-V2;3;39;77
10-181-V2;4;77;98
10-258-V1;1;1;67
10-258-V1;2;67;132
10-258-V2;1;0;20
10-258-V2;2;20;69
10-258-V3;1;0;20
10-258-V3;2;20;70
10-928-V1;1;1;123
10-928-V2;1;1;75
49-76-V1;1;1;71
49-76-V1;2;71;84
49-510-V1;1;1;101
49-510-V2;1;1;21
142-929-V1;1;1;15
142-929-V1;2;15;61
142-929-V2;1;1;7
142-929-V2;2;7;34
189-1871-V1;1;1;34
189-1871-V2;1;1;33
366-143-V1;1;1;27
366-143-V1;2;27;54
366-143-V1;3;54;87
366-143-V1;4;87;133
369-1404-V1;1;1;58
369-1404-V1;2;58;73
369-1404-V1;3;73;120
A34-6;1;1;20
A34-6;2;20;38
A34-6;3;38;47
A34-6;4;47;79
A34-6;5;79;105
A34-6;6;105;136
A49-7086;1;1;79
A84-600;1;1;90
A189-895;1;1;21
A189-895;2;21;38
A189-895;3;38;46
A1117-384;1;1;11
A1117-384;2;11;17
A1117-384;3;17;24
A1117-384;4;24;38
A1117-384;5;38;70
A1117-384;6;70;105
A1117-384;7;105;128
A1117-2696;1;1;85
A1117-2696;2;85;149
A1117-2696;3;149;167